cluster_id,cluster_weight,cluster_size,topic_name,keywords
316,153.10320080901525,1608,Narrowing dwelling-unit definition to limit density in PR district,"['dwelling unit', 'density', 'Planned Residential district', 'Planning Commission', 'Board of Zoning Appeals', 'zoning ordinance', 'definitions', 'kitchen', 'density per acre', 'PR district']"
251,85.72948643828556,1242,Variance hearing for impervious surface and yard setbacks,"['variance', 'impervious surface', 'front yard setback', 'side yard setback', 'deck construction', 'R-1', 'R-3', 'zoning hearing board']"
1,84.72197933098056,1050,Public hearing variance notice before zoning board of appeals,"['variance', 'rear yard setback', 'ZBA', 'public notice', 'hearing', 'Chapter 33', 'Libertyville', 'petition']"
165,71.40952753806977,874,Rezoning actions and public hearing notices in mixed legal ads,"['rezoning', 'zoning map', 'district reclassification', 'public hearing', 'zoning amendment', 'lot_area', 'permitted_uses', 'C-Commercial District', 'R-2', 'R-3-A']"
327,68.11983763024618,481,Public hearing on establishing new zoning districts and uses,"['zoning', 'districts', 'permitted uses', 'public hearing', 'planning commission', 'city council', 'zoning map', 'amendment', 'ordinance', 'flood plain', 'special district', 'comprehensive plan', 'hearings', 'maps']"
123,65.95311025403933,561,Variance hearing notices for lot coverage in R-1 district,"['variance', 'lot coverage', 'R-1 district', 'carport', 'single-family dwelling', 'public hearing', 'notice', 'application']"
31,63.994644349179914,882,Public hearing to amend zoning provisions and planning actions,"['public hearing', 'amendments', 'zoning provisions', 'planning commission', 'notice of hearing', 'legal notice', 'amend_text']"
109,62.43961498219743,643,Rezoning actions and zoning text amendments with hearings,"['rezoning', 'text amendment', 'zoning map', 'public hearing', 'ordinance', 'district classification', 'planning commission', 'zoning board of appeals']"
275,59.78117598784713,557,Adoption of Planned Residential Development ordinance with density limits,"['PRD', 'planned residential development', 'density', 'dwelling_units', 'open_space', 'school_site', 'adoption', 'ordinance', 'housing_mix', 'county_supervisors']"
307,58.33234122651128,441,Non-zoning municipal permits and financing ordinances,"['permits', 'ordinance', 'bond issue', 'tax levy', 'municipal governance', 'precincts']"
308,49.06219168901857,536,Public hearing to rezone property from R-1 to C-2,"['rezoning', 'district map change', 'R-1', 'C-2', 'zoning hearing', 'petition', 'city clerk', 'neighborhood shopping', 'one-family dwelling']"
96,49.003859909367925,463,Annexation-triggered rezoning from R-1 to R-3,"['annexation', 'rezoning', 'zoning map', 'R-1', 'R-3', 'comprehensive zoning ordinance', 'parcel reclassification']"
315,46.991285544045034,872,Residential district amendments adding conditional uses (model homes),"['amendment', 'R-1A', 'R-1R', 'conditional uses', 'model homes', 'Plan Commission', 'distance provisions', 'residential districts', 'zoning text change']"
172,40.26753736932778,432,Amend zoning districts and authorize conditional development permits,"['zoning', 'ordinance amendment', 'neighborhood retail district', 'conditional development permits', 'setbacks', 'subdivision regulation', 'variance', 'public notice']"
163,40.183140546032355,571,Mobile home park district development and density standards,"['mobile home district', 'mobile home park district', 'density', 'lot size', 'site development', 'licensing', 'planning board', 'permit', 'license', 'parking', 'setbacks', 'height', 'planning approval']"
